timestamp,raw,avg,hp,zero_cross

2025-07-31T18:26:18.694645,45988,1471329,9,0
2025-07-31T18:26:18.705377,45974,1471324,-4,0
2025-07-31T18:26:18.715773,45975,1471321,-3,0
2025-07-31T18:26:18.726576,45966,1471309,-12,0
2025-07-31T18:26:18.737998,45948,1471279,-29,0
2025-07-31T18:26:18.749136,45996,1471298,18,1
2025-07-31T18:26:18.759964,45960,1471280,-17,0
2025-07-31T18:26:18.770556,45962,1471265,-15,0
2025-07-31T18:26:18.781073,45948,1471236,-28,0
2025-07-31T18:26:18.791830,45994,1471254,18,0
2025-07-31T18:26:18.802480,45971,1471249,-5,0
2025-07-31T18:26:18.816703,45955,1471228,-20,0
2025-07-31T18:26:18.826802,45996,1471249,20,1
2025-07-31T18:26:18.838576,45984,1471257,8,0
2025-07-31T18:26:18.849617,45975,1471256,-1,0
2025-07-31T18:26:18.860332,45963,1471243,-13,0
2025-07-31T18:26:18.870989,45975,1471242,-1,0
2025-07-31T18:26:18.881714,45985,1471251,9,1
2025-07-31T18:26:18.892340,45984,1471259,8,0
2025-07-31T18:26:18.902996,45984,1471267,7,0
2025-07-31T18:26:18.913849,45991,1471281,14,0
2025-07-31T18:26:18.924670,45969,1471273,-8,0
2025-07-31T18:26:18.935563,45962,1471258,-14,0
2025-07-31T18:26:18.946250,46002,1471284,25,1
2025-07-31T18:26:18.956990,45987,1471294,10,0
2025-07-31T18:26:18.967848,46018,1471335,39,0
2025-07-31T18:26:18.978521,45995,1471351,16,0
2025-07-31T18:26:18.989128,45978,1471350,-1,0
2025-07-31T18:26:18.999754,45960,1471331,-19,0
2025-07-31T18:26:19.010339,45997,1471349,18,1
2025-07-31T18:26:19.020961,45964,1471334,-15,0
2025-07-31T18:26:19.031722,45977,1471332,-2,0
2025-07-31T18:26:19.042612,46005,1471358,26,0
2025-07-31T18:26:19.053246,45978,1471357,-1,0
2025-07-31T18:26:19.064158,45994,1471372,14,1
2025-07-31T18:26:19.074886,45992,1471384,12,0
2025-07-31T18:26:19.085672,45982,1471386,2,0
2025-07-31T18:26:19.096207,45969,1471375,-11,0
2025-07-31T18:26:19.106820,46008,1471403,27,0
2025-07-31T18:26:19.117706,45974,1471396,-7,0
2025-07-31T18:26:19.128782,45963,1471378,-17,0
2025-07-31T18:26:19.139612,45960,1471358,-19,0
2025-07-31T18:26:19.150352,45963,1471342,-16,0
2025-07-31T18:26:19.163568,45972,1471335,-7,0
2025-07-31T18:26:19.174416,45996,1471352,17,1
2025-07-31T18:26:19.185638,45980,1471353,1,0
2025-07-31T18:26:19.196407,45971,1471345,-8,0
2025-07-31T18:26:19.207013,45978,1471344,-1,0
2025-07-31T18:26:19.217685,45997,1471362,17,0
2025-07-31T18:26:19.228446,46017,1471399,36,0
2025-07-31T18:26:19.239509,45998,1471416,17,0
2025-07-31T18:26:19.251647,45985,1471420,4,0
2025-07-31T18:26:19.262613,46001,1471440,19,0
2025-07-31T18:26:19.273202,45992,1471450,10,0
2025-07-31T18:26:19.283762,45975,1471443,-7,0
2025-07-31T18:26:19.294381,45977,1471438,-5,0
2025-07-31T18:26:19.305723,45979,1471435,-3,0
2025-07-31T18:26:19.316377,45968,1471421,-13,0
2025-07-31T18:26:19.327028,45971,1471411,-10,0
2025-07-31T18:26:19.337824,45973,1471403,-8,0
2025-07-31T18:26:19.348626,45997,1471419,16,1
2025-07-31T18:26:19.359502,46005,1471443,23,0
2025-07-31T18:26:19.370136,46011,1471472,28,0
2025-07-31T18:26:19.380816,45991,1471480,8,0
2025-07-31T18:26:19.391525,45974,1471471,-9,0
2025-07-31T18:26:19.402200,45979,1471467,-4,0
2025-07-31T18:26:19.412970,45976,1471460,-7,0
2025-07-31T18:26:19.424024,45985,1471462,2,1
2025-07-31T18:26:19.435011,45973,1471452,-9,0
2025-07-31T18:26:19.445760,45971,1471441,-11,0
2025-07-31T18:26:19.456508,45951,1471410,-30,0
2025-07-31T18:26:19.467416,45981,1471410,0,0
2025-07-31T18:26:19.478167,45991,1471420,10,0
2025-07-31T18:26:19.489220,45982,1471421,1,0
2025-07-31T18:26:19.499964,45952,1471392,-29,0
2025-07-31T18:26:19.513298,45960,1471371,-20,0
2025-07-31T18:26:19.523974,45998,1471389,18,1
2025-07-31T18:26:19.535160,45986,1471395,5,0
2025-07-31T18:26:19.546202,45981,1471395,0,0
2025-07-31T18:26:19.557233,45961,1471375,-19,0
2025-07-31T18:26:19.568010,45966,1471361,-14,0
2025-07-31T18:26:19.578710,45973,1471354,-6,0
2025-07-31T18:26:19.589539,46005,1471380,25,1
2025-07-31T18:26:19.600455,45969,1471369,-11,0
2025-07-31T18:26:19.611390,46017,1471406,36,0
2025-07-31T18:26:19.622396,45970,1471395,-11,0
2025-07-31T18:26:19.633179,45987,1471401,6,0
2025-07-31T18:26:19.643971,46015,1471435,33,0
2025-07-31T18:26:19.654581,45976,1471429,-6,0
2025-07-31T18:26:19.665314,46007,1471454,25,1
2025-07-31T18:26:19.675901,45996,1471468,13,0
2025-07-31T18:26:19.686521,45997,1471482,14,0
2025-07-31T18:26:19.697111,45988,1471487,5,0
2025-07-31T18:26:19.707570,46001,1471505,17,0
2025-07-31T18:26:19.718166,45970,1471491,-14,0
2025-07-31T18:26:19.728965,46002,1471509,18,1
2025-07-31T18:26:19.739678,45996,1471521,11,0
2025-07-31T18:26:19.750701,46000,1471536,15,0
2025-07-31T18:26:19.761313,45981,1471532,-4,0
2025-07-31T18:26:19.771968,45975,1471522,-10,0
2025-07-31T18:26:19.782795,45979,1471516,-5,0
2025-07-31T18:26:19.793854,45987,1471519,3,1
2025-07-31T18:26:19.804962,45983,1471518,-1,0
2025-07-31T18:26:19.815989,45998,1471532,13,0
2025-07-31T18:26:19.827293,45999,1471546,14,0
2025-07-31T18:26:19.838001,45978,1471539,-7,0
2025-07-31T18:26:19.848747,46008,1471562,22,1
2025-07-31T18:26:19.862223,46008,1471584,21,0
2025-07-31T18:26:19.872830,45987,1471584,0,0
2025-07-31T18:26:19.884398,45965,1471562,-21,0
2025-07-31T18:26:19.895342,45976,1471552,-10,0
2025-07-31T18:26:19.905973,46003,1471569,17,1
2025-07-31T18:26:19.916875,45978,1471561,-8,0
2025-07-31T18:26:19.927620,46008,1471583,22,0
2025-07-31T18:26:19.938376,45966,1471563,-20,0
2025-07-31T18:26:19.949152,45994,1471571,8,0
2025-07-31T18:26:19.959878,45976,1471561,-10,0
2025-07-31T18:26:19.970641,46005,1471580,19,1
2025-07-31T18:26:19.981335,45984,1471578,-2,0
2025-07-31T18:26:19.992022,45995,1471587,8,0
2025-07-31T18:26:20.002793,45984,1471584,-3,0
2025-07-31T18:26:20.013568,45984,1471581,-2,0
2025-07-31T18:26:20.024724,46013,1471608,26,1
2025-07-31T18:26:20.035698,45962,1471583,-24,0
2025-07-31T18:26:20.046654,46004,1471601,17,0
2025-07-31T18:26:20.057457,45971,1471585,-16,0
2025-07-31T18:26:20.068345,45990,1471588,3,0
2025-07-31T18:26:20.079186,45966,1471567,-20,0
2025-07-31T18:26:20.089978,45978,1471559,-8,0
2025-07-31T18:26:20.100962,45986,1471559,0,1
2025-07-31T18:26:20.111901,45969,1471542,-16,0
2025-07-31T18:26:20.122673,45971,1471528,-14,0
2025-07-31T18:26:20.133343,45965,1471508,-19,0
2025-07-31T18:26:20.144419,45962,1471486,-21,0
2025-07-31T18:26:20.155414,45963,1471466,-20,0
2025-07-31T18:26:20.166252,46001,1471484,18,1
2025-07-31T18:26:20.176965,45971,1471472,-12,0
2025-07-31T18:26:20.187972,45982,1471471,-1,0
2025-07-31T18:26:20.198888,45973,1471461,-10,0
2025-07-31T18:26:20.213773,46011,1471489,27,0
2025-07-31T18:26:20.222168,45974,1471479,-9,0
2025-07-31T18:26:20.233993,45981,1471477,-2,0
2025-07-31T18:26:20.245203,45992,1471486,9,1
2025-07-31T18:26:20.256572,45968,1471471,-15,0
2025-07-31T18:26:20.267435,45993,1471481,10,0
2025-07-31T18:26:20.278338,45979,1471477,-4,0
2025-07-31T18:26:20.289241,45976,1471470,-7,0
2025-07-31T18:26:20.299987,45986,1471473,3,1
2025-07-31T18:26:20.310732,46004,1471494,20,0
2025-07-31T18:26:20.321769,45969,1471479,-14,0
2025-07-31T18:26:20.332644,45980,1471476,-3,0
2025-07-31T18:26:20.343356,45956,1471449,-26,0
2025-07-31T18:26:20.354285,45964,1471431,-18,0
2025-07-31T18:26:20.365205,45998,1471447,16,1
2025-07-31T18:26:20.376078,45973,1471438,-9,0
2025-07-31T18:26:20.386894,45966,1471422,-15,0
2025-07-31T18:26:20.397738,46002,1471443,20,0
2025-07-31T18:26:20.408965,46028,1471489,44,0
2025-07-31T18:26:20.419983,45970,1471475,-13,0
2025-07-31T18:26:20.430989,45971,1471463,-12,0
2025-07-31T18:26:20.442355,45980,1471460,-3,0
2025-07-31T18:26:20.453535,45979,1471456,-4,0
2025-07-31T18:26:20.464543,46002,1471475,19,1
2025-07-31T18:26:20.475181,46002,1471494,18,0
2025-07-31T18:26:20.486109,45995,1471505,11,0
2025-07-31T18:26:20.496961,45967,1471488,-17,0
2025-07-31T18:26:20.508636,46005,1471509,21,0
2025-07-31T18:26:20.519568,45986,1471511,2,0
2025-07-31T18:26:20.530395,46017,1471544,32,0
2025-07-31T18:26:20.541138,45968,1471527,-17,0
2025-07-31T18:26:20.551774,46013,1471555,27,1
2025-07-31T18:26:20.567925,45984,1471553,-2,0
2025-07-31T18:26:20.577047,45968,1471535,-17,0
2025-07-31T18:26:20.586851,45993,1471543,8,0
2025-07-31T18:26:20.597832,45986,1471544,1,0
