timestamp,raw,avg,hp,zero_cross
2025-07-31T18:27:35.020262,46821,1491489,212,0
2025-07-31T18:27:35.030645,46829,1491709,214,0
2025-07-31T18:27:35.041434,46864,1491958,241,0
2025-07-31T18:27:35.051931,46853,1492188,223,0
2025-07-31T18:27:35.062252,46861,1492419,223,0
2025-07-31T18:27:35.072980,46860,1492641,215,0
2025-07-31T18:27:35.083291,46846,1492842,195,0
2025-07-31T18:27:35.093833,46819,1493010,163,0
2025-07-31T18:27:35.104391,46846,1493200,184,0
2025-07-31T18:27:35.114865,46815,1493353,148,0
2025-07-31T18:27:35.125208,46834,1493520,162,0
2025-07-31T18:27:35.135593,46874,1493722,196,0
2025-07-31T18:27:35.146460,46852,1493896,168,0
2025-07-31T18:27:35.156998,46829,1494041,141,0
2025-07-31T18:27:35.167520,46812,1494165,120,0
2025-07-31T18:27:35.178355,46858,1494331,161,0
2025-07-31T18:27:35.188929,46825,1494459,124,0
2025-07-31T18:27:35.199337,46836,1494594,130,0
2025-07-31T18:27:35.209854,46851,1494739,141,0
2025-07-31T18:27:35.220448,46833,1494862,119,0
2025-07-31T18:27:35.231217,46832,1494980,114,0
2025-07-31T18:27:35.241817,46862,1495124,140,0
2025-07-31T18:27:35.252658,46842,1495244,116,0
2025-07-31T18:27:35.263186,46865,1495383,135,0
2025-07-31T18:27:35.274054,46852,1495505,118,0
2025-07-31T18:27:35.284902,46846,1495617,108,0
2025-07-31T18:27:35.295650,46864,1495743,123,0
2025-07-31T18:27:35.308657,46844,1495846,99,0
2025-07-31T18:27:35.318455,46862,1495963,114,0
2025-07-31T18:27:35.329658,46813,1496028,63,0
2025-07-31T18:27:35.340296,46840,1496118,87,0
2025-07-31T18:27:35.351469,46845,1496210,89,0
2025-07-31T18:27:35.363349,46829,1496283,71,0
2025-07-31T18:27:35.373888,46851,1496376,90,0
2025-07-31T18:27:35.384430,46847,1496462,83,0
2025-07-31T18:27:35.394914,46837,1496535,71,0
2025-07-31T18:27:35.405440,46852,1496621,83,0
2025-07-31T18:27:35.416333,46847,1496699,76,0
2025-07-31T18:27:35.427004,46866,1496794,92,0
2025-07-31T18:27:35.437494,46837,1496857,61,0
2025-07-31T18:27:35.447926,46852,1496933,73,0
2025-07-31T18:27:35.458683,46863,1497017,82,0
2025-07-31T18:27:35.468980,46862,1497098,78,0
2025-07-31T18:27:35.479651,46851,1497165,65,0
2025-07-31T18:27:35.490202,46834,1497213,47,0
2025-07-31T18:27:35.500827,46850,1497276,61,0
2025-07-31T18:27:35.511236,46831,1497318,40,0
2025-07-31T18:27:35.521527,46871,1497398,78,0
2025-07-31T18:27:35.532130,46826,1497431,32,0
2025-07-31T18:27:35.542626,46873,1497510,76,0
2025-07-31T18:27:35.553237,46834,1497547,36,0
2025-07-31T18:27:35.563646,46845,1497594,46,0
2025-07-31T18:27:35.574187,46840,1497635,39,0
2025-07-31T18:27:35.584568,46838,1497672,36,0
2025-07-31T18:27:35.594927,46829,1497699,26,0
2025-07-31T18:27:35.605259,46825,1497721,22,0
2025-07-31T18:27:35.615639,46820,1497738,16,0
2025-07-31T18:27:35.625898,46832,1497766,27,0
2025-07-31T18:27:35.636309,46832,1497793,26,0
2025-07-31T18:27:35.648162,46852,1497839,45,0
2025-07-31T18:27:35.659323,46860,1497892,51,0
2025-07-31T18:27:35.670009,46839,1497922,29,0
2025-07-31T18:27:35.680465,46826,1497938,16,0
2025-07-31T18:27:35.690574,46822,1497950,12,0
2025-07-31T18:27:35.700936,46836,1497976,25,0
2025-07-31T18:27:35.711408,46841,1498006,29,0
2025-07-31T18:27:35.722204,46838,1498032,25,0
2025-07-31T18:27:35.732663,46826,1498045,13,0
2025-07-31T18:27:35.743370,46825,1498057,11,0
2025-07-31T18:27:35.754008,46845,1498088,30,0
2025-07-31T18:27:35.764276,46818,1498091,3,0
2025-07-31T18:27:35.774727,46816,1498092,1,0
2025-07-31T18:27:35.785316,46858,1498135,42,0
2025-07-31T18:27:35.796356,46843,1498162,26,0
2025-07-31T18:27:35.806860,46831,1498176,13,0
2025-07-31T18:27:35.817167,46843,1498201,25,0
2025-07-31T18:27:35.827512,46843,1498226,24,0
2025-07-31T18:27:35.837775,46870,1498277,49,0
2025-07-31T18:27:35.848199,46847,1498303,26,0
2025-07-31T18:27:35.858647,46827,1498309,5,0
2025-07-31T18:27:35.869071,46856,1498343,33,0
2025-07-31T18:27:35.879203,46857,1498377,33,0
2025-07-31T18:27:35.889649,46833,1498386,9,0
2025-07-31T18:27:35.900121,46835,1498397,11,0
2025-07-31T18:27:35.910298,46847,1498420,22,0
2025-07-31T18:27:35.920337,46846,1498441,20,0
2025-07-31T18:27:35.930553,46856,1498471,29,0
2025-07-31T18:27:35.940873,46827,1498471,0,0
2025-07-31T18:27:35.951169,46825,1498469,-2,0
2025-07-31T18:27:35.961648,46863,1498505,35,1
2025-07-31T18:27:35.972041,46858,1498535,29,0
2025-07-31T18:27:35.984689,46856,1498562,26,0
2025-07-31T18:27:35.996090,46833,1498565,3,0
2025-07-31T18:27:36.007237,46855,1498590,25,0
2025-07-31T18:27:36.018559,46853,1498613,22,0
2025-07-31T18:27:36.029651,46851,1498633,19,0
2025-07-31T18:27:36.040997,46854,1498655,22,0
2025-07-31T18:27:36.051472,46836,1498659,3,0
2025-07-31T18:27:36.062493,46850,1498676,17,0
2025-07-31T18:27:36.073414,46820,1498663,-13,0
2025-07-31T18:27:36.084733,46836,1498666,3,1
2025-07-31T18:27:36.095721,46820,1498653,-12,0
2025-07-31T18:27:36.106471,46851,1498672,18,0
2025-07-31T18:27:36.116931,46844,1498683,11,0
2025-07-31T18:27:36.128388,46841,1498691,7,0
2025-07-31T18:27:36.139099,46807,1498664,-26,0
2025-07-31T18:27:36.149549,46849,1498680,16,1
2025-07-31T18:27:36.160033,46864,1498711,30,0
2025-07-31T18:27:36.170428,46852,1498729,17,0
2025-07-31T18:27:36.180970,46872,1498766,36,0
2025-07-31T18:27:36.191465,46826,1498756,-10,0
2025-07-31T18:27:36.202054,46837,1498757,1,1
2025-07-31T18:27:36.212473,46842,1498763,6,0
2025-07-31T18:27:36.223020,46833,1498760,-3,0
2025-07-31T18:27:36.233415,46820,1498744,-15,0
2025-07-31T18:27:36.243855,46848,1498757,12,0
2025-07-31T18:27:36.254266,46821,1498742,-14,0
2025-07-31T18:27:36.264933,46837,1498744,2,1
2025-07-31T18:27:36.275713,46840,1498749,5,0
2025-07-31T18:27:36.286290,46871,1498785,34,0
2025-07-31T18:27:36.296999,46840,1498788,3,0
2025-07-31T18:27:36.307722,46857,1498808,20,0
2025-07-31T18:27:36.318178,46821,1498792,-16,0
2025-07-31T18:27:36.331006,46837,1498792,0,1
2025-07-31T18:27:36.342054,46831,1498786,-6,0
2025-07-31T18:27:36.353038,46857,1498806,20,0
2025-07-31T18:27:36.363864,46838,1498807,1,0
2025-07-31T18:27:36.374649,46825,1498795,-12,0
2025-07-31T18:27:36.385238,46838,1498796,1,1
2025-07-31T18:27:36.395709,46837,1498796,0,0
2025-07-31T18:27:36.406107,46828,1498787,-9,0
2025-07-31T18:27:36.416488,46857,1498807,20,0
2025-07-31T18:27:36.426963,46841,1498811,4,0
2025-07-31T18:27:36.437850,46871,1498845,33,0
2025-07-31T18:27:36.448845,46817,1498824,-21,0
2025-07-31T18:27:36.459685,46833,1498819,-5,0
2025-07-31T18:27:36.470201,46860,1498841,22,1
2025-07-31T18:27:36.480737,46875,1498878,36,0
2025-07-31T18:27:36.491386,46848,1498887,8,0
2025-07-31T18:27:36.502033,46845,1498892,5,0
2025-07-31T18:27:36.512848,46846,1498898,6,0
2025-07-31T18:27:36.523439,46884,1498942,43,0
2025-07-31T18:27:36.533989,46855,1498956,13,0
2025-07-31T18:27:36.544635,46877,1498991,34,0
2025-07-31T18:27:36.555217,46824,1498972,-18,0
2025-07-31T18:27:36.565865,46843,1498973,1,1
2025-07-31T18:27:36.576405,46829,1498960,-13,0
2025-07-31T18:27:36.586929,46831,1498949,-11,0
2025-07-31T18:27:36.597506,46819,1498926,-22,0
2025-07-31T18:27:36.608059,46862,1498947,20,0
2025-07-31T18:27:36.618645,46832,1498937,-9,0
2025-07-31T18:27:36.629228,46839,1498935,-2,0
2025-07-31T18:27:36.639706,46857,1498951,15,1
2025-07-31T18:27:36.650488,46854,1498963,12,0
2025-07-31T18:27:36.661817,46855,1498976,12,0
2025-07-31T18:27:36.674225,46839,1498972,-3,0
2025-07-31T18:27:36.685446,46864,1498994,21,0
2025-07-31T18:27:36.696468,46840,1498991,-3,0
2025-07-31T18:27:36.707192,46835,1498983,-8,0
2025-07-31T18:27:36.717645,46843,1498983,0,1
2025-07-31T18:27:36.728194,46826,1498966,-16,0
2025-07-31T18:27:36.738782,46823,1498947,-19,0
2025-07-31T18:27:36.749286,46849,1498954,7,0
2025-07-31T18:27:36.759716,46857,1498969,15,0
2025-07-31T18:27:36.770078,46840,1498967,-2,0
2025-07-31T18:27:36.780525,46846,1498971,4,1
2025-07-31T18:27:36.791312,46836,1498965,-6,0
2025-07-31T18:27:36.802361,46835,1498958,-7,0
2025-07-31T18:27:36.813343,46870,1498986,27,0
2025-07-31T18:27:36.824076,46860,1499003,17,0
2025-07-31T18:27:36.834659,46815,1498975,-27,0
2025-07-31T18:27:36.845136,46846,1498979,3,1
2025-07-31T18:27:36.855531,46836,1498972,-6,0
2025-07-31T18:27:36.866099,46847,1498977,4,0
2025-07-31T18:27:36.876644,46867,1499001,24,0
2025-07-31T18:27:36.887429,46835,1498993,-8,0
2025-07-31T18:27:36.898006,46879,1499029,35,1
2025-07-31T18:27:36.908751,46854,1499039,10,0
2025-07-31T18:27:36.919384,46830,1499025,-14,0
2025-07-31T18:27:36.930021,46828,1499009,-16,0
2025-07-31T18:27:36.940636,46829,1498994,-14,0
2025-07-31T18:27:36.951259,46838,1498989,-5,0
2025-07-31T18:27:36.961821,46843,1498989,0,1
2025-07-31T18:27:36.972408,46825,1498971,-17,0
2025-07-31T18:27:36.982986,46865,1498994,22,0
2025-07-31T18:27:36.993480,46803,1498954,-39,0
2025-07-31T18:27:37.004108,46876,1498988,33,0
2025-07-31T18:27:37.018376,46833,1498978,-10,0
2025-07-31T18:27:37.027751,46865,1499000,22,1
2025-07-31T18:27:37.039344,46825,1498982,-18,0
2025-07-31T18:27:37.050266,46862,1499001,19,0
2025-07-31T18:27:37.061052,46829,1498987,-14,0
2025-07-31T18:27:37.071840,46842,1498986,-1,0
2025-07-31T18:27:37.082436,46860,1499003,17,1
2025-07-31T18:27:37.092996,46855,1499015,11,0
2025-07-31T18:27:37.103645,46839,1499010,-5,0
2025-07-31T18:27:37.114273,46824,1498990,-19,0
2025-07-31T18:27:37.124884,46845,1498992,2,0
2025-07-31T18:27:37.135686,46836,1498985,-7,0
2025-07-31T18:27:37.146269,46857,1498999,14,1
2025-07-31T18:27:37.156843,46822,1498978,-21,0
2025-07-31T18:27:37.167859,46843,1498978,0,0
2025-07-31T18:27:37.178488,46846,1498981,3,0
2025-07-31T18:27:37.188887,46842,1498980,-1,0
2025-07-31T18:27:37.199523,46839,1498976,-4,0
2025-07-31T18:27:37.210471,46822,1498955,-20,0
2025-07-31T18:27:37.221020,46856,1498969,14,1
2025-07-31T18:27:37.231697,46861,1498988,18,0
2025-07-31T18:27:37.242349,46861,1499006,18,0
2025-07-31T18:27:37.253433,46828,1498991,-15,0
2025-07-31T18:27:37.264656,46856,1499004,13,0
2025-07-31T18:27:37.275407,46855,1499016,11,0
2025-07-31T18:27:37.285897,46824,1498996,-19,0
2025-07-31T18:27:37.296649,46825,1498978,-18,0
2025-07-31T18:27:37.307542,46815,1498950,-27,0
2025-07-31T18:27:37.318758,46843,1498951,1,1
2025-07-31T18:27:37.329776,46813,1498922,-28,0
2025-07-31T18:27:37.340455,46867,1498948,25,0
2025-07-31T18:27:37.351072,46853,1498959,11,0
2025-07-31T18:27:37.363715,46850,1498967,8,0
2025-07-31T18:27:37.375291,46848,1498973,6,0
2025-07-31T18:27:37.386268,46843,1498974,1,0
2025-07-31T18:27:37.397284,46834,1498966,-8,0
2025-07-31T18:27:37.408056,46835,1498959,-7,0
2025-07-31T18:27:37.418653,46808,1498925,-33,0
2025-07-31T18:27:37.429421,46822,1498906,-18,0
2025-07-31T18:27:37.439945,46822,1498888,-18,0
2025-07-31T18:27:37.450828,46859,1498907,19,1
2025-07-31T18:27:37.462036,46847,1498914,6,0
2025-07-31T18:27:37.473012,46867,1498940,26,0
2025-07-31T18:27:37.483645,46855,1498954,13,0
2025-07-31T18:27:37.494383,46850,1498962,8,0
2025-07-31T18:27:37.504918,46839,1498959,-3,0
2025-07-31T18:27:37.515627,46846,1498963,4,1
2025-07-31T18:27:37.526326,46836,1498957,-6,0
2025-07-31T18:27:37.536930,46835,1498950,-7,0
2025-07-31T18:27:37.547219,46896,1499004,53,0
2025-07-31T18:27:37.557812,46842,1499003,-1,0
2025-07-31T18:27:37.568434,46852,1499012,8,1
2025-07-31T18:27:37.578957,46836,1499004,-7,0
2025-07-31T18:27:37.589502,46829,1498990,-14,0
2025-07-31T18:27:37.600050,46831,1498978,-12,0
2025-07-31T18:27:37.610688,46811,1498946,-31,0
2025-07-31T18:27:37.621238,46845,1498949,3,1
2025-07-31T18:27:37.631799,46847,1498954,5,0
2025-07-31T18:27:37.642637,46848,1498960,6,0
2025-07-31T18:27:37.653230,46820,1498938,-21,0
2025-07-31T18:27:37.663818,46860,1498957,18,0
2025-07-31T18:27:37.675162,46818,1498933,-23,0
2025-07-31T18:27:37.686249,46832,1498924,-9,0
2025-07-31T18:27:37.697208,46853,1498936,12,1
2025-07-31T18:27:37.710976,46836,1498931,-5,0
2025-07-31T18:27:37.721803,46834,1498924,-7,0
2025-07-31T18:27:37.733224,46813,1498896,-27,0
2025-07-31T18:27:37.744512,46844,1498900,4,0
2025-07-31T18:27:37.755504,46846,1498906,6,0
2025-07-31T18:27:37.766559,46849,1498915,8,0
2025-07-31T18:27:37.777497,46870,1498944,28,0
2025-07-31T18:27:37.788625,46812,1498914,-29,0
2025-07-31T18:27:37.799768,46839,1498912,-2,0
2025-07-31T18:27:37.810828,46822,1498893,-18,0
2025-07-31T18:27:37.821950,46845,1498898,5,1
2025-07-31T18:27:37.833128,46808,1498866,-31,0
2025-07-31T18:27:37.844661,46816,1498843,-22,0
2025-07-31T18:27:37.856570,46805,1498810,-32,0
2025-07-31T18:27:37.867507,46806,1498779,-30,0
2025-07-31T18:27:37.878483,46822,1498765,-14,0
2025-07-31T18:27:37.889548,46813,1498742,-22,0
2025-07-31T18:27:37.900480,46848,1498755,12,1
2025-07-31T18:27:37.911413,46809,1498728,-26,0
2025-07-31T18:27:37.922405,46858,1498751,23,0
2025-07-31T18:27:37.933398,46833,1498749,-2,0
2025-07-31T18:27:37.944319,46840,1498754,4,0
2025-07-31T18:27:37.955504,46811,1498729,-24,0
2025-07-31T18:27:37.966547,46827,1498721,-8,0
